epoch,GreenCoverage
1,0.3847495913505554
2,0.45318403840065
3,0.5614535212516785
4,0.6138496398925781
5,0.6895720362663269
6,0.6930782198905945
7,0.7168158888816833
8,0.72027587890625
9,0.7149187326431274
10,0.756019651889801
11,0.770053505897522
12,0.7536011934280396
13,0.757285475730896
14,0.7617357969284058
15,0.7639765739440918
16,0.7574566602706909
17,0.7540978789329529
18,0.750384509563446
19,0.7475423216819763
20,0.7566853165626526
21,0.7663878202438354
22,0.7601900696754456
23,0.7570652961730957
24,0.7532792091369629
25,0.7542209625244141
26,0.7599547505378723
27,0.7625831365585327
28,0.7634348273277283
29,0.7629004120826721
30,0.7664560675621033
31,0.7731397747993469
32,0.7711774110794067
33,0.7664514183998108
34,0.7724556922912598
35,0.7657284140586853
36,0.7631198167800903
37,0.759396493434906
38,0.7625289559364319
39,0.7638830542564392
40,0.7674582600593567
41,0.7719534635543823
42,0.7746421694755554
43,0.7762237191200256
44,0.7708049416542053
45,0.7750844955444336
46,0.7787900567054749
47,0.7772372364997864
48,0.7753528356552124
49,0.7719994783401489
50,0.7773910760879517
51,0.7737180590629578
52,0.7739818692207336
53,0.7746456861495972
54,0.7651715874671936
55,0.7710638642311096
56,0.7801958918571472
57,0.7825807929039001
58,0.780401349067688
59,0.7772828936576843
60,0.7757992148399353
61,0.7803086638450623
62,0.7801679968833923
63,0.7798253297805786
64,0.7795154452323914
65,0.777100682258606
66,0.7718428373336792
67,0.7715053558349609
68,0.7727603912353516
